timestamp,elapsed,battery,mode,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_speed,roll,pitch,yaw,footf_0,footf_1,footf_2,footf_3,stability_smooth,speed_score_smooth,time_score_smooth,total_score
2025-10-30T21:14:11.393924,0.022,13.0,1,0.951,0.249,0.303,-0.011,0.001,0.002,0.003,-0.035,-0.014,-1.682,900,864,849,858,711.587980,0.0,0.0,711.588
2025-10-30T21:14:11.594271,0.222,13.0,2,0.950,0.248,0.305,-0.007,-0.024,-0.024,0.015,-0.029,-0.016,-1.682,892,867,856,861,797.094673,0.0,-1.0,796.095
2025-10-30T21:14:11.794673,0.441,13.0,2,0.950,0.230,0.304,0.196,0.044,-0.023,0.145,-0.036,-0.033,-1.681,871,896,905,896,671.898456,2.0,-2.0,671.898
2025-10-30T21:14:11.994912,0.643,13.0,2,0.953,0.166,0.307,0.383,0.007,0.031,-0.081,-0.045,-0.025,-1.674,882,890,902,845,597.853731,4.5,-3.0,599.354
2025-10-30T21:14:12.195262,0.842,13.0,2,0.938,0.056,0.301,0.573,-0.037,0.056,0.137,-0.033,-0.023,-1.662,887,893,888,880,603.317559,7.2,-4.0,606.518
2025-10-30T21:14:12.395611,1.043,13.0,2,0.927,-0.056,0.300,0.626,-0.006,0.083,-0.016,-0.032,-0.021,-1.670,886,907,914,892,597.483407,10.8,-6.0,602.283
2025-10-30T21:14:12.596001,1.243,13.0,2,0.920,-0.181,0.308,0.636,0.042,-0.076,-0.112,-0.051,-0.024,-1.655,891,904,903,902,484.446653,14.4,-8.0,490.847
2025-10-30T21:14:12.796431,1.442,13.0,2,0.908,-0.313,0.299,0.700,0.014,-0.159,0.065,-0.049,-0.027,-1.657,886,872,905,895,464.815478,17.4,-10.0,472.215
2025-10-30T21:14:12.996884,1.643,13.0,2,0.906,-0.458,0.302,0.640,0.027,0.072,-0.064,-0.054,-0.023,-1.655,873,890,893,896,447.819377,18.6,-12.0,454.419
2025-10-30T21:14:13.197211,1.843,13.0,2,0.900,-0.597,0.312,0.632,0.011,0.197,0.109,-0.066,-0.008,-1.637,893,897,892,913,368.383169,18.6,-14.0,372.983
2025-10-30T21:14:13.397522,2.045,13.0,2,0.892,-0.728,0.305,0.725,-0.020,-0.077,0.659,-0.046,-0.025,-1.622,883,900,898,904,305.787991,19.2,-16.0,308.988
2025-10-30T21:14:13.597832,2.242,13.0,2,0.889,-0.843,0.301,0.440,-0.101,-0.121,1.129,-0.087,-0.017,-1.304,880,901,895,885,267.634953,18.6,-18.0,268.235
2025-10-30T21:14:13.798128,2.442,13.0,2,0.924,-0.953,0.300,0.551,0.049,0.055,0.173,-0.110,-0.018,-1.208,884,911,874,889,219.212915,18.0,-20.0,217.213
2025-10-30T21:14:13.998498,2.641,13.0,2,0.970,-1.071,0.298,0.645,0.026,0.068,0.018,-0.093,-0.010,-1.208,890,896,878,884,184.019686,18.0,-22.0,180.020
2025-10-30T21:14:14.198837,2.842,13.0,2,1.017,-1.192,0.309,0.599,0.033,-0.055,-0.108,-0.073,-0.015,-1.191,898,898,884,886,174.198951,18.0,-24.0,168.199
2025-10-30T21:14:14.399005,3.042,13.0,2,1.063,-1.306,0.303,0.622,0.023,-0.067,-0.001,-0.054,-0.014,-1.194,890,898,878,892,165.206037,17.4,-26.0,156.606
2025-10-30T21:14:14.599358,3.242,13.0,2,1.114,-1.422,0.302,0.584,-0.002,0.059,-0.044,-0.045,-0.006,-1.193,891,890,898,893,238.661343,18.0,-28.0,228.661
2025-10-30T21:14:14.799710,3.443,13.0,2,1.162,-1.536,0.303,0.583,-0.017,0.105,1.479,-0.065,-0.006,-1.044,890,897,890,905,268.697022,18.0,-30.0,256.697
2025-10-30T21:14:14.999905,3.641,13.0,2,1.215,-1.618,0.300,0.501,0.056,-0.034,0.395,-0.088,-0.017,-0.912,884,893,897,904,270.824597,17.4,-32.0,256.225
2025-10-30T21:14:15.200214,3.843,13.0,2,1.293,-1.704,0.301,0.572,0.033,-0.009,0.626,-0.084,-0.012,-0.860,894,893,895,871,262.649401,17.4,-34.0,246.049
2025-10-30T21:14:15.400566,4.024,13.0,2,1.368,-1.788,0.299,0.614,-0.052,0.022,0.198,-0.085,-0.012,-0.719,888,895,892,881,224.980898,17.4,-36.0,206.381
2025-10-30T21:14:15.600888,4.237,13.0,2,1.451,-1.871,0.299,0.585,0.003,0.105,-0.016,-0.061,-0.010,-0.706,874,917,912,880,178.159304,17.4,-38.0,157.559
2025-10-30T21:14:15.801238,4.402,13.0,2,1.536,-1.941,0.308,0.604,0.035,0.149,0.099,-0.061,-0.005,-0.684,894,908,906,873,185.468959,17.4,-40.0,162.869
2025-10-30T21:14:16.001550,4.566,13.0,2,1.610,-1.996,0.303,0.575,0.055,0.101,0.031,-0.056,-0.013,-0.697,888,921,912,892,221.269875,18.0,-42.0,197.270
2025-10-30T21:14:16.201917,4.848,13.0,2,1.745,-2.077,0.292,0.589,-0.017,0.039,2.077,-0.108,-0.005,-0.404,886,894,896,909,210.668694,18.0,-44.0,184.669
2025-10-30T21:14:16.402224,5.035,13.0,2,1.844,-2.117,0.296,0.538,-0.075,0.146,0.449,-0.130,-0.008,-0.154,897,901,909,910,195.320858,17.4,-46.0,166.721
2025-10-30T21:14:16.602583,5.248,13.0,2,1.934,-2.144,0.296,0.622,-0.058,0.105,0.307,-0.100,0.018,-0.086,888,878,920,899,162.871434,17.4,-48.0,132.271
2025-10-30T21:14:16.802893,5.449,13.0,2,2.085,-2.169,0.309,0.496,0.041,0.048,-0.135,-0.059,0.001,-0.052,894,890,895,902,166.315634,16.8,-50.0,133.116
2025-10-30T21:14:17.003211,5.490,13.0,2,2.113,-2.169,0.302,0.541,0.065,0.051,-0.076,-0.057,0.010,-0.059,892,885,883,900,164.811982,16.2,-51.8,129.212
2025-10-30T21:14:17.203544,5.825,13.0,2,2.290,-2.157,0.294,0.507,0.037,0.106,0.294,-0.113,0.001,0.202,877,881,885,906,163.493878,15.6,-53.8,125.294
2025-10-30T21:14:17.403837,6.045,13.0,2,2.405,-2.120,0.305,0.579,0.055,-0.047,-0.084,-0.104,-0.002,0.249,894,887,899,870,169.946018,16.2,-55.8,130.346
2025-10-30T21:14:17.603946,6.252,13.0,2,2.517,-2.089,0.297,0.619,0.045,-0.141,0.041,-0.085,-0.004,0.248,883,883,892,888,178.279352,16.2,-58.0,136.479
2025-10-30T21:14:17.804252,6.440,12.0,2,2.619,-2.052,0.304,0.576,0.044,-0.052,-0.174,-0.071,0.003,0.252,888,893,897,901,160.690644,16.8,-60.0,117.491
2025-10-30T21:14:18.004637,6.644,12.0,2,2.743,-2.017,0.309,0.570,0.026,0.189,-0.575,-0.056,0.016,0.206,888,897,896,901,159.768142,17.4,-62.2,114.968
2025-10-30T21:14:18.205016,6.724,12.0,2,2.784,-2.004,0.306,0.584,0.074,-0.055,-0.779,-0.044,0.011,0.138,895,897,894,903,243.691806,18.0,-64.0,197.692
2025-10-30T21:14:18.405394,7.016,12.0,2,2.949,-1.970,0.306,0.613,0.037,-0.097,1.111,-0.070,0.004,0.163,869,901,894,903,266.566764,18.0,-66.0,218.567
2025-10-30T21:14:18.605828,7.238,12.0,2,3.064,-1.944,0.302,0.549,-0.046,-0.055,0.633,-0.087,-0.004,0.348,877,894,894,894,264.899210,18.0,-67.8,215.099
2025-10-30T21:14:18.806015,7.442,12.0,2,3.153,-1.898,0.291,0.455,-0.014,0.079,1.268,-0.155,-0.000,0.720,866,903,898,896,233.822377,17.4,-69.8,181.422
2025-10-30T21:14:19.006377,7.649,12.0,2,3.220,-1.830,0.296,0.550,0.019,-0.100,1.408,-0.158,0.001,0.899,889,909,895,882,183.368032,17.4,-71.8,128.968
2025-10-30T21:14:19.206796,7.852,12.0,2,3.290,-1.740,0.283,0.595,-0.132,-0.016,0.921,-0.144,0.017,1.245,880,877,901,890,93.267912,17.4,-74.2,36.468
2025-10-30T21:14:19.407222,8.037,12.0,2,3.330,-1.660,0.289,0.513,-0.058,0.116,1.942,-0.135,0.001,1.470,872,886,896,893,63.110928,16.8,-76.2,3.711
2025-10-30T21:14:19.607724,8.243,12.0,2,3.329,-1.553,0.290,0.516,0.009,0.100,0.485,-0.143,0.010,1.816,848,879,891,878,46.611894,16.2,-78.2,-15.388
2025-10-30T21:14:19.807995,8.447,12.0,2,3.306,-1.453,0.292,0.579,0.038,-0.005,0.195,-0.093,0.022,1.859,863,884,879,888,60.289033,16.8,-80.2,-3.111
2025-10-30T21:14:20.008304,8.643,12.0,2,3.256,-1.342,0.299,0.542,0.158,-0.077,-1.151,-0.075,0.012,1.805,869,896,886,888,86.622413,16.8,-82.2,21.222
2025-10-30T21:14:20.208662,8.842,12.0,2,3.234,-1.239,0.297,0.514,0.034,0.070,-0.070,-0.017,-0.002,1.630,873,878,874,885,730.924555,16.2,-84.0,663.125
2025-10-30T21:14:20.408919,9.042,12.0,2,3.230,-1.147,0.294,0.495,0.016,0.029,-1.265,0.021,0.001,1.430,865,908,909,860,1166.698716,16.2,-86.0,1096.899
2025-10-30T21:14:20.609224,9.241,12.0,2,3.239,-1.051,0.305,0.503,0.042,-0.033,-0.337,0.021,-0.001,1.353,887,899,917,900,1625.553927,16.2,-88.0,1553.754
2025-10-30T21:14:20.809534,9.442,12.0,2,3.257,-0.956,0.296,0.559,0.020,-0.104,0.057,0.001,-0.014,1.345,883,894,872,904,2671.800138,16.2,-90.0,2598.000
2025-10-30T21:14:21.009970,9.643,12.0,2,3.278,-0.853,0.302,0.509,0.008,0.081,-0.014,-0.015,-0.002,1.344,881,906,874,927,3518.842421,15.6,-92.0,3442.442
2025-10-30T21:14:21.210318,9.843,12.0,2,3.296,-0.755,0.301,0.530,-0.027,0.062,1.971,-0.054,-0.004,1.506,895,908,873,901,2933.733577,15.6,-94.0,2855.334
2025-10-30T21:14:21.410728,10.043,12.0,2,3.288,-0.676,0.291,0.411,0.061,-0.001,1.227,-0.140,-0.018,1.843,889,881,881,887,2496.915910,15.0,-96.0,2415.916
2025-10-30T21:14:21.610987,10.241,12.0,2,3.238,-0.595,0.290,0.432,0.034,0.085,1.385,-0.188,0.010,2.248,875,889,887,867,2033.998724,14.4,-98.0,1950.399
2025-10-30T21:14:21.811352,10.443,12.0,2,3.182,-0.523,0.295,0.498,0.020,0.049,0.703,-0.174,0.010,2.383,874,892,901,881,972.253715,13.8,-100.0,886.054
2025-10-30T21:14:22.011899,10.643,12.0,2,3.107,-0.459,0.293,0.530,-0.001,0.102,0.237,-0.145,0.012,2.482,871,864,877,894,100.378889,13.8,-102.0,12.179
2025-10-30T21:14:22.212229,10.842,12.0,2,3.022,-0.398,0.305,0.483,0.045,-0.042,-0.489,-0.116,0.001,2.496,877,881,874,905,46.563108,13.8,-104.0,-43.637
2025-10-30T21:14:22.412643,11.043,12.0,2,2.947,-0.337,0.288,0.476,0.062,-0.022,-0.889,-0.047,0.002,2.249,880,901,879,896,126.293875,14.4,-106.0,34.694
2025-10-30T21:14:22.613079,11.243,12.0,2,2.883,-0.271,0.300,0.468,0.006,0.078,-0.067,-0.039,0.002,2.186,891,887,882,890,253.244682,15.0,-108.0,160.245
2025-10-30T21:14:22.813433,11.461,12.0,2,2.825,-0.200,0.309,0.396,0.022,0.064,-0.105,-0.050,0.004,2.191,893,900,877,885,326.184392,14.4,-110.2,230.384
2025-10-30T21:14:23.014002,11.662,12.0,2,2.776,-0.137,0.301,0.451,-0.017,-0.087,0.318,-0.042,-0.003,2.260,879,857,874,893,430.281023,14.4,-112.4,332.281
2025-10-30T21:14:23.214367,11.842,12.0,2,2.726,-0.080,0.308,0.379,-0.025,0.022,-0.086,-0.041,0.003,2.280,865,876,885,883,535.137195,13.8,-114.4,434.537
2025-10-30T21:14:23.414651,12.062,12.0,2,2.662,-0.011,0.309,0.408,0.005,0.120,0.141,-0.050,0.004,2.292,880,907,868,903,524.585945,13.2,-116.6,421.186
2025-10-30T21:14:23.614992,12.262,12.0,2,2.608,0.044,0.303,0.398,0.002,-0.001,0.109,-0.046,-0.000,2.294,878,918,909,913,486.575705,12.6,-118.8,380.376
2025-10-30T21:14:23.815327,12.463,12.0,2,2.552,0.101,0.311,0.395,0.013,-0.105,-0.186,-0.049,-0.001,2.302,853,899,888,865,489.894227,12.6,-120.8,381.694
2025-10-30T21:14:24.015668,12.663,12.0,2,2.498,0.162,0.307,0.420,-0.001,0.022,0.034,-0.047,-0.008,2.305,868,862,885,880,465.807867,12.0,-122.8,355.008
2025-10-30T21:14:24.216100,12.863,12.0,2,2.436,0.219,0.304,0.407,0.012,0.059,-0.042,-0.050,-0.002,2.304,856,895,874,865,427.490915,12.0,-125.0,314.491
2025-10-30T21:14:24.416497,13.064,12.0,2,2.377,0.277,0.313,0.404,0.016,0.048,-0.047,-0.057,0.002,2.317,860,883,875,855,409.366190,12.0,-127.0,294.366
2025-10-30T21:14:24.616787,13.262,12.0,2,2.318,0.338,0.305,0.506,0.006,-0.088,0.545,-0.043,-0.013,2.325,877,874,849,876,414.796876,12.6,-129.0,298.397
2025-10-30T21:14:24.817080,13.463,12.0,2,2.245,0.388,0.304,0.433,0.037,0.081,1.876,-0.034,-0.004,2.662,868,883,876,889,505.764218,12.6,-131.0,387.364
2025-10-30T21:14:25.017429,13.665,12.0,2,2.161,0.404,0.308,0.512,0.031,0.066,2.357,-0.025,-0.001,2.981,884,891,877,904,734.385458,13.2,-133.0,614.585
2025-10-30T21:14:25.217879,13.864,12.0,2,2.083,0.406,0.302,0.351,0.025,0.045,0.743,-0.025,-0.002,-2.957,879,861,886,900,973.251831,13.2,-135.0,851.452
2025-10-30T21:14:25.418325,14.063,12.0,2,2.000,0.388,0.307,0.390,0.036,0.017,-0.517,-0.027,0.000,-2.903,901,873,895,910,1177.332472,13.2,-137.0,1053.532
2025-10-30T21:14:25.618744,14.263,12.0,2,1.912,0.375,0.301,0.486,0.004,0.010,-0.277,-0.034,0.001,-3.087,883,902,873,902,1251.382535,13.2,-139.0,1125.583
2025-10-30T21:14:25.819139,14.461,12.0,2,1.824,0.362,0.301,0.468,0.041,0.126,-0.086,-0.050,0.003,-3.127,881,884,884,896,1157.202575,13.8,-141.0,1030.003
2025-10-30T21:14:26.019533,14.661,12.0,2,1.737,0.354,0.310,0.420,0.039,0.060,-0.098,-0.060,0.010,-3.123,859,898,879,923,893.308607,13.2,-143.0,763.509
2025-10-30T21:14:26.219935,14.862,12.0,2,1.651,0.354,0.302,0.480,-0.022,-0.084,0.014,-0.044,-0.008,-3.118,878,890,901,906,674.263343,13.8,-145.0,543.063
2025-10-30T21:14:26.420380,15.063,12.0,2,1.559,0.349,0.307,0.469,-0.004,-0.010,0.046,-0.042,-0.005,-3.117,865,893,890,868,518.912974,14.4,-147.0,386.313
2025-10-30T21:14:26.620802,15.263,12.0,2,1.458,0.345,0.309,0.535,0.002,0.145,0.038,-0.046,-0.003,-3.110,874,904,865,893,440.459810,14.4,-149.0,305.860
2025-10-30T21:14:26.821250,15.463,12.0,2,1.352,0.343,0.304,0.593,-0.009,-0.011,0.042,-0.039,-0.015,-3.113,878,913,906,888,472.814164,15.0,-151.0,336.814
2025-10-30T21:14:27.021668,15.661,11.0,2,1.229,0.336,0.308,0.643,-0.012,-0.161,0.032,-0.037,-0.019,-3.101,866,900,894,890,531.086886,16.2,-153.0,394.287
2025-10-30T21:14:27.221924,15.863,11.0,2,1.090,0.340,0.305,0.733,-0.023,-0.044,-0.009,-0.030,-0.012,-3.101,874,878,882,890,625.350864,17.4,-155.0,487.751
2025-10-30T21:14:27.422222,16.063,11.0,2,0.955,0.324,0.303,0.671,0.033,0.153,-0.076,-0.038,-0.010,-3.102,889,900,894,894,642.859798,18.6,-157.0,504.460
2025-10-30T21:14:27.622522,16.263,11.0,2,0.832,0.312,0.313,0.506,0.044,0.110,-0.022,-0.058,0.014,-3.084,885,894,893,881,602.939589,18.6,-159.0,462.540
2025-10-30T21:14:27.822958,16.462,11.0,2,0.747,0.308,0.307,0.357,-0.049,-0.043,0.084,-0.037,0.009,-3.084,886,861,890,893,625.814052,17.4,-161.0,482.214
2025-10-30T21:14:28.023265,16.662,11.0,2,0.688,0.305,0.315,0.193,-0.013,0.035,-0.080,-0.037,0.008,-3.083,871,886,887,907,653.718666,15.0,-163.0,505.719
2025-10-30T21:14:28.223632,16.863,11.0,2,0.655,0.308,0.315,0.100,-0.018,0.059,0.083,-0.035,0.010,-3.076,870,908,905,901,613.283711,11.4,-165.0,459.684
2025-10-30T21:14:28.423986,17.062,11.0,2,0.645,0.305,0.309,0.047,-0.000,0.017,0.083,-0.035,0.006,-3.075,879,910,862,899,644.775826,7.2,-167.0,484.976
2025-10-30T21:14:28.624291,17.263,11.0,2,0.638,0.302,0.316,0.004,-0.008,-0.025,-0.161,-0.040,0.000,-3.071,897,905,870,916,715.230573,4.2,-169.0,550.431
2025-10-30T21:14:28.824637,17.463,11.0,1,0.639,0.301,0.308,0.016,0.002,-0.007,0.028,-0.051,-0.008,-3.070,886,932,864,898,655.212297,1.8,-171.0,486.012
2025-10-30T21:14:29.025372,17.663,11.0,1,0.635,0.300,0.306,0.000,-0.009,0.003,0.011,-0.044,-0.001,-3.070,870,927,862,891,619.934025,0.6,-173.0,447.534
